Name	AGRO_LAND_constr	AGRO_LAND_op
CAR_BEV	179.718094	0.000000
CAR_FUEL_CELL	0.000010	0.000000
TRAIN_FREIGHT	1.668081	0.000000
BOAT_FREIGHT_DIESEL	0.554151	0.000000
BOAT_FREIGHT_NG	2.130005	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRUCK_DIESEL	0.000040	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	8.599723	0.000000
HABER_BOSCH	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	0.019535	0.000000
BATT_LI	0.000396	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000007	0.000000
TS_DEC_HP_ELEC	6.160459	0.000000
TS_DEC_THHP_GAS	0.000007	0.000000
TS_DEC_COGEN_GAS	0.000007	0.000000
TS_DEC_COGEN_OIL	0.000007	0.000000
TS_DEC_ADVCOGEN_GAS	0.000007	0.000000
TS_DEC_ADVCOGEN_H2	0.000007	0.000000
TS_DEC_BOILER_GAS	0.000007	0.000000
TS_DEC_BOILER_WOOD	0.000007	0.000000
TS_DEC_BOILER_OIL	0.000007	0.000000
TS_DHN_DAILY	0.000033	0.000000
TS_DHN_SEASONAL	0.420529	0.000000
TS_HIGH_TEMP	9.183429	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
DHN	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
GRID	0.000000	0.000000
AMMONIA_TO_H2	0.000000	0.000000
ATM_CCS	0.000000	0.000000
BIOMETHANATION	0.000020	0.000000
BIO_HYDROLYSIS	339.371711	0.000000
GASIFICATION_SNG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000000	0.000000
PYROLYSIS_TO_LFO	0.000000	0.000000
SMR	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000
ELECTRICITY	0.000000	1600.800166
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000001
BIOETHANOL	0.000000	0.003612
BIODIESEL	0.000000	429.809173
LFO	0.000000	0.000001
GAS	0.000000	0.000000
GAS_RE	0.000000	1130.767791
WOOD	0.000000	20147.424802
WET_BIOMASS	0.000000	5873.907117
COAL	0.000000	0.000002
URANIUM	0.000000	0.000000
WASTE	0.000000	0.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
